"","C","sigma","Accuracy","Kappa","AccuracySD","KappaSD"
"1",0.001,"0.001",0.167807313814642,0.143626173586106,0.205274533722489,0.208288614268525
"6",0.01,"0.001",0.167807313814642,0.143626173586106,0.205274533722489,0.208288614268525
"11",0.1,"0.001",0.67434828332763,0.662056857887376,0.045245433236545,0.0466152398510655
"16",1,"0.001",0.959166605582328,0.957566939385102,0.0234021222809862,0.024320291928316
"21",10,"0.001",0.971995561180771,0.970897775844926,0.019132477657582,0.019882809736791
"2",0.001,"0.01",0.0938182263345488,0.0671764785562213,0.0974166043038633,0.0966566687956368
"7",0.01,"0.01",0.0938182263345488,0.0671764785562213,0.0974166043038633,0.0966566687956368
"12",0.1,"0.01",0.0938182263345488,0.0671764785562213,0.0974166043038633,0.0966566687956368
"17",1,"0.01",0.448222664721665,0.429515332477238,0.0813040474559133,0.0826034374283071
"22",10,"0.01",0.479919421714225,0.462118451644134,0.0788489059467501,0.0802577625016365
"3",0.001,"0.1",0.101878166926135,0.0752252666415666,0.124801053017619,0.12456948962433
"8",0.01,"0.1",0.101878166926135,0.0752252666415666,0.124801053017619,0.12456948962433
"13",0.1,"0.1",0.0845339000448927,0.0571663154413486,0.0967019964795973,0.0952823317834241
"18",1,"0.1",0.0440270387272386,0.0156218758980192,0.026867795258338,0.0237533613681829
"23",10,"0.1",0.0548293902191304,0.0268088883471842,0.0449858658737417,0.0427120863148146
"4",0.001,"1",0.165259012682064,0.141153194745325,0.201600401270058,0.204841899661113
"9",0.01,"1",0.165697609173292,0.1416043509508,0.202484593374271,0.205756851622376
"14",0.1,"1",0.165697609173292,0.1416043509508,0.202484593374271,0.205756851622376
"19",1,"1",0.165697609173292,0.141601666471521,0.202484593374271,0.205751331718948
"24",10,"1",0.165697609173292,0.141601666471521,0.202484593374271,0.205751331718948
"5",0.001,"10",0.0280392399193199,0,0.00419995638266343,0
"10",0.01,"10",0.0280392399193199,0,0.00419995638266343,0
"15",0.1,"10",0.0280392399193199,0,0.00419995638266343,0
"20",1,"10",0.0280392399193199,0,0.00419995638266343,0
"25",10,"10",0.0280392399193199,0,0.00419995638266343,0
